order_id,order_date,customer_name,region,revenue,load_timestamp
ORD-1001,2026-08-01,Acme Corp,US-East,1200.50,2026-08-03T08:00:00Z
ORD-1002,2026-08-01,Globex Inc,US-West,850.00,2026-08-03T08:05:00Z
ORD-1003,2026-08-02,Initech,EU-Central,430.25,2026-08-03T09:10:00Z
ORD-1004,2026-08-02,Umbrella LLC,,675.00,2026-08-03T09:15:00Z
ORD-1005,2026-08-02,Soylent Co,APAC,-150.00,2026-08-03T09:20:00Z
ORD-1006,2026-08-02,Stark Industries,US-East,2200.00,2026-08-03T10:00:00Z
ORD-1007,2026-08-02,Wayne Enterprises,US-West,990.75,2026-08-03T10:05:00Z
ORD-1008,2026-08-03,Wonka Inc,EU-West,310.00,2026-07-31T07:00:00Z
ORD-1009,2026-08-03,Hooli,US-East,540.00,2026-08-03T11:00:00Z
ORD-1010,2026-08-03,Pied Piper,US-West,725.50,2026-08-03T11:15:00Z
ORD-1006,2026-08-03,Stark Industries,US-East,2200.00,2026-08-03T11:30:00Z
ORD-1012,2026-08-03,Massive Dynamic,EU-Central,415.00,2026-08-03T11:45:00Z
